Metric,Value
annualized_return,0.193627451
annualized volatility,0.310615261
sharpe ratio,0.539081789
Sortino Ratio,0.887755401
Max Drawdown,-0.445538428
Mean Information Coefficient,-0.014990978
Mean Decile Spread,0.004252385
FF5 beta: const,0.005691238
FF5 beta: Mkt-RF,1.133576835
FF5 beta: SMB,1.413215232
FF5 beta: HML,0.0964162
FF5 beta: RMW,0.254617782
FF5 beta: CMA,0.572285788
FF5 pvalue: const,0.147823609
FF5 pvalue: Mkt-RF,2.29E-22
FF5 pvalue: SMB,4.64E-14
FF5 pvalue: HML,0.457591724
FF5 pvalue: RMW,0.143043219
FF5 pvalue: CMA,0.003100701
